title_2023,code,type,employment_base_2023,employment_proj_2023,share_base_2023,share_proj_2023,change_numeric_2023,change_percent_2023,self_employed_2023,openings_2023,median_wage_2023,base_year_2023,projection_year_2023,title_2024,employment_base_2024,employment_proj_2024,share_base_2024,share_proj_2024,change_numeric_2024,change_percent_2024,self_employed_2024,openings_2024,median_wage_2024,base_year_2024,projection_year_2024,_merge,employment_base_delta,employment_proj_delta,share_base_delta,share_proj_delta,change_numeric_delta,change_percent_delta,self_employed_delta,openings_delta,median_wage_delta
"Chemistry teachers, postsecondary",25-1052,Line item,25.4,26.2,0.0,0.0,0.9,3.4,0.2,2.0,85810.0,2023,2033,"Chemistry teachers, postsecondary",25.4,26.0,0.0,0.0,0.6,2.2,0.2,1.9,86220.0,2024,2034,both,0.0,-0.1999999999999993,0.0,0.0,-0.30000000000000004,-1.1999999999999997,0.0,-0.10000000000000009,410.0
"Environmental science teachers, postsecondary",25-1053,Line item,9.1,9.4,0.0,0.0,0.4,3.9,,0.7,88410.0,2023,2033,"Environmental science teachers, postsecondary",9.0,9.3,0.0,0.0,0.3,2.9,,0.7,87710.0,2024,2034,both,-0.09999999999999964,-0.09999999999999964,0.0,0.0,-0.10000000000000003,-1.0,,0.0,-700.0
"Physics teachers, postsecondary",25-1054,Line item,17.7,18.4,0.0,0.0,0.7,3.7,,1.4,98020.0,2023,2033,"Physics teachers, postsecondary",17.1,17.5,0.0,0.0,0.4,2.5,,1.3,97360.0,2024,2034,both,-0.5999999999999979,-0.8999999999999986,0.0,0.0,-0.29999999999999993,-1.2000000000000002,,-0.09999999999999987,-660.0
"Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.3,6.5,0.0,0.0,0.2,3.8,,0.5,93650.0,2023,2033,"Anthropology and archeology teachers, postsecondary",6.5,6.7,0.0,0.0,0.2,2.7,,0.5,95770.0,2024,2034,both,0.20000000000000018,0.20000000000000018,0.0,0.0,0.0,-1.0999999999999996,,0.0,2120.0
"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,14.7,15.3,0.0,0.0,0.5,3.6,,1.2,86030.0,2023,2033,"Area, ethnic, and cultural studies teachers, postsecondary",14.5,14.8,0.0,0.0,0.3,2.4,,1.1,84290.0,2024,2034,both,-0.1999999999999993,-0.5,0.0,0.0,-0.2,-1.2000000000000002,,-0.09999999999999987,-1740.0
"Economics teachers, postsecondary",25-1063,Line item,15.5,16.0,0.0,0.0,0.5,3.5,,1.2,115300.0,2023,2033,"Economics teachers, postsecondary",15.8,16.1,0.0,0.0,0.3,2.1,,1.2,119980.0,2024,2034,both,0.3000000000000007,0.10000000000000142,0.0,0.0,-0.2,-1.4,,0.0,4680.0
"Geography teachers, postsecondary",25-1064,Line item,4.3,4.5,0.0,0.0,0.2,4.3,,0.3,85600.0,2023,2033,"Geography teachers, postsecondary",4.0,4.2,0.0,0.0,0.1,3.3,,0.3,86730.0,2024,2034,both,-0.2999999999999998,-0.2999999999999998,0.0,0.0,-0.1,-1.0,,0.0,1130.0
"Political science teachers, postsecondary",25-1065,Line item,21.7,22.4,0.0,0.0,0.7,3.3,0.3,1.7,93810.0,2023,2033,"Political science teachers, postsecondary",21.8,22.2,0.0,0.0,0.4,2.0,0.3,1.6,94680.0,2024,2034,both,0.10000000000000142,-0.1999999999999993,0.0,0.0,-0.29999999999999993,-1.2999999999999998,0.0,-0.09999999999999987,870.0
"Psychology teachers, postsecondary",25-1066,Line item,51.1,53.6,0.0,0.0,2.6,5.0,0.3,4.1,82140.0,2023,2033,"Psychology teachers, postsecondary",52.5,54.4,0.0,0.0,1.9,3.6,0.3,4.0,80330.0,2024,2034,both,1.3999999999999986,0.7999999999999972,0.0,0.0,-0.7000000000000002,-1.4,0.0,-0.09999999999999964,-1810.0
"Sociology teachers, postsecondary",25-1067,Line item,16.1,16.6,0.0,0.0,0.5,3.4,,1.3,82670.0,2023,2033,"Sociology teachers, postsecondary",15.4,15.7,0.0,0.0,0.3,2.1,,1.1,82540.0,2024,2034,both,-0.7000000000000011,-0.9000000000000021,0.0,0.0,-0.2,-1.2999999999999998,,-0.19999999999999996,-130.0
"Social sciences teachers, postsecondary, all other",25-1069,Line item,20.3,20.8,0.0,0.0,0.6,2.7,,1.6,77750.0,2023,2033,"Social sciences teachers, postsecondary, all other",20.7,21.1,0.0,0.0,0.4,1.7,,1.5,75040.0,2024,2034,both,0.3999999999999986,0.3000000000000007,0.0,0.0,-0.19999999999999996,-1.0000000000000002,,-0.10000000000000009,-2710.0
"Health specialties teachers, postsecondary",25-1071,Line item,284.2,337.5,0.2,0.2,53.3,18.8,0.3,28.4,105650.0,2023,2033,"Health specialties teachers, postsecondary",289.6,339.7,0.2,0.2,50.1,17.3,0.3,27.4,105620.0,2024,2034,both,5.400000000000034,2.1999999999999886,0.0,0.0,-3.1999999999999957,-1.5,0.0,-1.0,-30.0
"Nursing instructors and teachers, postsecondary",25-1072,Line item,89.9,105.9,0.1,0.1,16.1,17.9,0.3,8.9,80780.0,2023,2033,"Nursing instructors and teachers, postsecondary",91.6,106.9,0.1,0.1,15.3,16.8,0.4,8.6,79940.0,2024,2034,both,1.6999999999999886,1.0,0.0,0.0,-0.8000000000000007,-1.0999999999999979,0.10000000000000003,-0.3000000000000007,-840.0
"Education teachers, postsecondary",25-1081,Line item,77.2,79.7,0.0,0.0,2.5,3.3,0.3,6.1,73240.0,2023,2033,"Education teachers, postsecondary",74.9,76.5,0.0,0.0,1.6,2.1,0.3,5.6,72090.0,2024,2034,both,-2.299999999999997,-3.200000000000003,0.0,0.0,-0.8999999999999999,-1.1999999999999997,0.0,-0.5,-1150.0
"Library science teachers, postsecondary",25-1082,Line item,5.3,5.5,0.0,0.0,0.2,4.2,,0.4,80310.0,2023,2033,"Library science teachers, postsecondary",5.1,5.3,0.0,0.0,0.2,3.0,,0.4,78630.0,2024,2034,both,-0.20000000000000018,-0.20000000000000018,0.0,0.0,0.0,-1.2000000000000002,,0.0,-1680.0
"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.1,16.6,0.0,0.0,0.5,2.9,,1.3,69030.0,2023,2033,"Criminal justice and law enforcement teachers, postsecondary",16.2,16.5,0.0,0.0,0.3,2.0,,1.2,71470.0,2024,2034,both,0.09999999999999787,-0.10000000000000142,0.0,0.0,-0.2,-0.8999999999999999,,-0.10000000000000009,2440.0
"Law teachers, postsecondary",25-1112,Line item,19.0,19.4,0.0,0.0,0.4,2.2,0.4,1.5,127360.0,2023,2033,"Law teachers, postsecondary",29.5,30.2,0.0,0.0,0.6,2.2,0.3,2.2,126650.0,2024,2034,both,10.5,10.8,0.0,0.0,0.19999999999999996,0.0,-0.10000000000000003,0.7000000000000002,-710.0
"Social work teachers, postsecondary",25-1113,Line item,15.1,15.7,0.0,0.0,0.5,3.6,,1.2,75020.0,2023,2033,"Social work teachers, postsecondary",17.1,17.5,0.0,0.0,0.4,2.3,,1.3,76210.0,2024,2034,both,2.0000000000000018,1.8000000000000007,0.0,0.0,-0.09999999999999998,-1.3000000000000003,,0.10000000000000009,1190.0
"Art, drama, and music teachers, postsecondary",25-1121,Line item,127.4,130.9,0.1,0.1,3.5,2.7,0.3,9.9,80360.0,2023,2033,"Art, drama, and music teachers, postsecondary",122.8,124.8,0.1,0.1,2.1,1.7,0.4,9.0,80190.0,2024,2034,both,-4.6000000000000085,-6.1000000000000085,0.0,0.0,-1.4,-1.0000000000000002,0.10000000000000003,-0.9000000000000004,-170.0
"Communications teachers, postsecondary",25-1122,Line item,35.0,36.2,0.0,0.0,1.2,3.3,0.2,2.8,79910.0,2023,2033,"Communications teachers, postsecondary",35.8,36.6,0.0,0.0,0.8,2.1,0.2,2.7,77800.0,2024,2034,both,0.7999999999999972,0.3999999999999986,0.0,0.0,-0.3999999999999999,-1.1999999999999997,0.0,-0.09999999999999964,-2110.0
"English language and literature teachers, postsecondary",25-1123,Line item,70.1,70.9,0.0,0.0,0.8,1.1,0.2,5.3,78130.0,2023,2033,"English language and literature teachers, postsecondary",72.2,72.2,0.0,0.0,0.0,0.0,0.2,5.1,78270.0,2024,2034,both,2.1000000000000085,1.2999999999999972,0.0,0.0,-0.8,-1.1,0.0,-0.20000000000000018,140.0
"Foreign language and literature teachers, postsecondary",25-1124,Line item,26.1,26.4,0.0,0.0,0.3,1.0,0.3,2.0,78760.0,2023,2033,"Foreign language and literature teachers, postsecondary",26.4,26.4,0.0,0.0,0.0,-0.2,0.3,1.9,77010.0,2024,2034,both,0.29999999999999716,0.0,0.0,0.0,-0.3,-1.2,0.0,-0.10000000000000009,-1750.0
"History teachers, postsecondary",25-1125,Line item,25.8,26.0,0.0,0.0,0.2,0.9,0.2,1.9,82140.0,2023,2033,"History teachers, postsecondary",24.6,24.6,0.0,0.0,-0.1,-0.2,0.2,1.7,81500.0,2024,2034,both,-1.1999999999999993,-1.3999999999999986,0.0,0.0,-0.30000000000000004,-1.1,0.0,-0.19999999999999996,-640.0
"Philosophy and religion teachers, postsecondary",25-1126,Line item,26.4,27.0,0.0,0.0,0.5,2.0,0.4,2.0,79930.0,2023,2033,"Philosophy and religion teachers, postsecondary",27.3,27.5,0.0,0.0,0.2,0.7,0.5,2.0,78050.0,2024,2034,both,0.9000000000000021,0.5,0.0,0.0,-0.3,-1.3,0.09999999999999998,0.0,-1880.0
"Family and consumer sciences teachers, postsecondary",25-1192,Line item,3.3,3.5,0.0,0.0,0.1,4.3,,0.3,78410.0,2023,2033,"Family and consumer sciences teachers, postsecondary",3.2,3.3,0.0,0.0,0.1,3.4,,0.2,77280.0,2024,2034,both,-0.09999999999999964,-0.20000000000000018,0.0,0.0,0.0,-0.8999999999999999,,-0.09999999999999998,-1130.0
"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,16.2,16.7,0.0,0.0,0.6,3.4,,1.3,75770.0,2023,2033,"Recreation and fitness studies teachers, postsecondary",15.4,15.7,0.0,0.0,0.4,2.4,,1.1,75890.0,2024,2034,both,-0.7999999999999989,-1.0,0.0,0.0,-0.19999999999999996,-1.0,,-0.19999999999999996,120.0
"Career/technical education teachers, postsecondary",25-1194,Line item,121.8,121.9,0.1,0.1,0.1,0.1,0.4,9.0,62060.0,2023,2033,"Career/technical education teachers, postsecondary",122.2,123.0,0.1,0.1,0.8,0.7,0.4,8.8,61490.0,2024,2034,both,0.4000000000000057,1.0999999999999943,0.0,0.0,0.7000000000000001,0.6,0.0,-0.1999999999999993,-570.0
"Postsecondary teachers, all other",25-1199,Line item,202.5,209.0,0.1,0.1,6.5,3.2,0.2,15.9,79870.0,2023,2033,"Postsecondary teachers, all other",183.4,186.8,0.1,0.1,3.4,1.8,0.3,13.5,78490.0,2024,2034,both,-19.099999999999994,-22.19999999999999,0.0,0.0,-3.1,-1.4000000000000001,0.09999999999999998,-2.4000000000000004,-1380.0
"Preschool teachers, except special education",25-2011,Line item,528.5,551.8,0.3,0.3,23.3,4.4,1.0,61.4,37130.0,2023,2033,"Preschool teachers, except special education",555.1,578.1,0.3,0.3,22.9,4.1,0.6,65.5,37120.0,2024,2034,both,26.600000000000023,26.300000000000068,0.0,0.0,-0.40000000000000213,-0.3000000000000007,-0.4,4.100000000000001,-10.0
"Kindergarten teachers, except special education",25-2012,Line item,122.7,121.8,0.1,0.1,-0.8,-0.7,0.2,13.3,62690.0,2023,2033,"Kindergarten teachers, except special education",117.2,115.2,0.1,0.1,-1.9,-1.6,0.1,12.8,61430.0,2024,2034,both,-5.5,-6.599999999999994,0.0,0.0,-1.0999999999999999,-0.9000000000000001,-0.1,-0.5,-1260.0
"Elementary school teachers, except special education",25-2021,Line item,1441.0,1430.4,0.9,0.8,-10.7,-0.7,0.4,93.2,63680.0,2023,2033,"Elementary school teachers, except special education",1422.7,1394.8,0.8,0.8,-27.9,-2.0,0.6,91.0,62340.0,2024,2034,both,-18.299999999999955,-35.600000000000136,-0.09999999999999998,0.0,-17.2,-1.3,0.19999999999999996,-2.200000000000003,-1340.0
"Middle school teachers, except special and career/technical education",25-2022,Line item,640.0,635.3,0.4,0.4,-4.7,-0.7,0.5,41.4,64290.0,2023,2033,"Middle school teachers, except special and career/technical education",633.7,621.3,0.4,0.4,-12.4,-2.0,0.6,40.5,62970.0,2024,2034,both,-6.2999999999999545,-14.0,0.0,0.0,-7.7,-1.3,0.09999999999999998,-0.8999999999999986,-1320.0
"Career/technical education teachers, middle school",25-2023,Line item,12.2,12.1,0.0,0.0,-0.1,-0.9,,0.8,63860.0,2023,2033,"Career/technical education teachers, middle school",14.0,13.8,0.0,0.0,-0.3,-2.0,,0.9,63620.0,2024,2034,both,1.8000000000000007,1.700000000000001,0.0,0.0,-0.19999999999999998,-1.1,,0.09999999999999998,-240.0
"Secondary school teachers, except special and career/technical education",25-2031,Line item,1071.4,1064.5,0.6,0.6,-6.9,-0.6,0.2,64.0,65220.0,2023,2033,"Secondary school teachers, except special and career/technical education",1094.5,1076.7,0.6,0.6,-17.8,-1.6,0.0,66.2,64580.0,2024,2034,both,23.09999999999991,12.200000000000045,0.0,0.0,-10.9,-1.0,-0.2,2.200000000000003,-640.0
"Career/technical education teachers, secondary school",25-2032,Line item,89.6,88.9,0.1,0.1,-0.7,-0.8,,5.3,65130.0,2023,2033,"Career/technical education teachers, secondary school",103.4,101.5,0.1,0.1,-1.9,-1.8,,6.2,63910.0,2024,2034,both,13.800000000000011,12.599999999999994,0.0,0.0,-1.2,-1.0,,0.9000000000000004,-1220.0
"Special education teachers, preschool",25-2051,Line item,25.7,26.1,0.0,0.0,0.4,1.6,0.8,1.8,65270.0,2023,2033,"Special education teachers, preschool",29.3,29.7,0.0,0.0,0.4,1.4,1.8,2.1,62190.0,2024,2034,both,3.6000000000000014,3.599999999999998,0.0,0.0,0.0,-0.20000000000000018,1.0,0.30000000000000004,-3080.0
"Special education teachers, kindergarten and elementary school",25-2052,Line item,212.7,211.2,0.1,0.1,-1.6,-0.7,0.1,14.2,64910.0,2023,2033,"Special education teachers, kindergarten and elementary school",230.2,226.1,0.1,0.1,-4.1,-1.8,0.3,15.4,63000.0,2024,2034,both,17.5,14.900000000000006,0.0,0.0,-2.4999999999999996,-1.1,0.19999999999999998,1.200000000000001,-1910.0
"Special education teachers, middle school",25-2057,Line item,88.6,87.8,0.1,0.1,-0.8,-0.9,0.1,5.9,66600.0,2023,2033,"Special education teachers, middle school",94.8,93.0,0.1,0.1,-1.8,-1.9,0.3,6.3,64880.0,2024,2034,both,6.200000000000003,5.200000000000003,0.0,0.0,-1.0,-0.9999999999999999,0.19999999999999998,0.39999999999999947,-1720.0
"Special education teachers, secondary school",25-2058,Line item,159.5,158.6,0.1,0.1,-0.9,-0.6,0.2,10.7,66620.0,2023,2033,"Special education teachers, secondary school",164.2,161.5,0.1,0.1,-2.6,-1.6,0.5,11.1,69590.0,2024,2034,both,4.699999999999989,2.9000000000000057,0.0,0.0,-1.7000000000000002,-1.0,0.3,0.40000000000000036,2970.0
"Special education teachers, all other",25-2059,Line item,45.1,46.0,0.0,0.0,1.0,2.1,0.7,3.2,67190.0,2023,2033,"Special education teachers, all other",41.0,41.5,0.0,0.0,0.4,1.1,1.6,2.9,67430.0,2024,2034,both,-4.100000000000001,-4.5,0.0,0.0,-0.6,-1.0,0.9000000000000001,-0.30000000000000027,240.0
"Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Line item,41.7,36.4,0.0,0.0,-5.3,-12.7,5.9,4.1,60560.0,2023,2033,"Adult basic education, adult secondary education, and english as a second language instructors",40.9,35.3,0.0,0.0,-5.6,-13.7,5.6,3.9,59950.0,2024,2034,both,-0.8000000000000043,-1.1000000000000014,0.0,0.0,-0.2999999999999998,-1.0,-0.3000000000000007,-0.19999999999999973,-610.0
Self-enrichment teachers,25-3021,Line item,370.1,382.8,0.2,0.2,12.7,3.4,18.4,46.1,45330.0,2023,2033,Self-enrichment teachers,417.5,433.0,0.2,0.2,15.5,3.7,16.8,51.4,45590.0,2024,2034,both,47.39999999999998,50.19999999999999,0.0,0.0,2.8000000000000007,0.30000000000000027,-1.5999999999999979,5.299999999999997,260.0
"Substitute teachers, short-term",25-3031,Line item,473.3,489.2,0.3,0.3,15.9,3.4,5.2,58.9,37380.0,2023,2033,"Substitute teachers, short-term",510.1,518.5,0.3,0.3,8.4,1.6,5.0,61.1,38470.0,2024,2034,both,36.80000000000001,29.30000000000001,0.0,0.0,-7.5,-1.7999999999999998,-0.20000000000000018,2.200000000000003,1090.0
Tutors,25-3041,Line item,195.1,196.4,0.1,0.1,1.3,0.7,11.3,34.0,39580.0,2023,2033,Tutors,215.5,216.8,0.1,0.1,1.3,0.6,13.7,37.1,40090.0,2024,2034,both,20.400000000000006,20.400000000000006,0.0,0.0,0.0,-0.09999999999999998,2.3999999999999986,3.1000000000000014,510.0
"Teachers and instructors, all other",25-3099,Line item,143.5,145.5,0.1,0.1,1.9,1.4,9.5,17.4,64390.0,2023,2033,"Teachers and instructors, all other",153.8,153.5,0.1,0.1,-0.2,-0.1,8.6,18.0,64690.0,2024,2034,both,10.300000000000011,8.0,0.0,0.0,-2.1,-1.5,-0.9000000000000004,0.6000000000000014,300.0
Archivists,25-4011,Line item,8.8,9.5,0.0,0.0,0.7,8.0,5.3,1.1,59910.0,2023,2033,Archivists,9.3,9.7,0.0,0.0,0.4,3.8,10.4,1.1,61570.0,2024,2034,both,0.5,0.1999999999999993,0.0,0.0,-0.29999999999999993,-4.2,5.1000000000000005,0.0,1660.0
Curators,25-4012,Line item,14.2,16.0,0.0,0.0,1.7,12.2,6.6,1.8,61750.0,2023,2033,Curators,15.1,16.2,0.0,0.0,1.1,7.0,13.1,1.8,61770.0,2024,2034,both,0.9000000000000004,0.1999999999999993,0.0,0.0,-0.5999999999999999,-5.199999999999999,6.5,0.0,20.0
Museum technicians and conservators,25-4013,Line item,14.4,16.0,0.0,0.0,1.6,10.7,6.0,1.8,48670.0,2023,2033,Museum technicians and conservators,15.7,16.5,0.0,0.0,0.8,5.4,12.0,1.9,47460.0,2024,2034,both,1.299999999999999,0.5,0.0,0.0,-0.8,-5.299999999999999,6.0,0.09999999999999987,-1210.0
Librarians and media collections specialists,25-4022,Line item,142.2,146.4,0.1,0.1,4.2,2.9,,13.3,64370.0,2023,2033,Librarians and media collections specialists,142.1,144.5,0.1,0.1,2.4,1.7,0.9,13.5,64320.0,2024,2034,both,-0.09999999999999432,-1.9000000000000057,0.0,0.0,-1.8000000000000003,-1.2,,0.1999999999999993,-50.0
Library technicians,25-4031,Line item,81.5,77.0,0.0,0.0,-4.6,-5.6,,13.2,39310.0,2023,2033,Library technicians,78.6,73.2,0.0,0.0,-5.4,-6.8,,13.0,39970.0,2024,2034,both,-2.9000000000000057,-3.799999999999997,0.0,0.0,-0.8000000000000007,-1.2000000000000002,,-0.1999999999999993,660.0
Farm and home management educators,25-9021,Line item,9.8,9.7,0.0,0.0,-0.2,-1.7,,0.8,59770.0,2023,2033,Farm and home management educators,12.4,12.1,0.0,0.0,-0.3,-2.5,0.7,1.1,58120.0,2024,2034,both,2.5999999999999996,2.4000000000000004,0.0,0.0,-0.09999999999999998,-0.8,,0.30000000000000004,-1650.0
Instructional coordinators,25-9031,Line item,225.2,229.3,0.1,0.1,4.1,1.8,2.0,20.1,74620.0,2023,2033,Instructional coordinators,232.6,235.5,0.1,0.1,2.9,1.3,3.3,21.9,74720.0,2024,2034,both,7.400000000000006,6.199999999999989,0.0,0.0,-1.1999999999999997,-0.5,1.2999999999999998,1.7999999999999972,100.0
"Teaching assistants, postsecondary",25-9044,Line item,184.6,192.1,0.1,0.1,7.4,4.0,0.3,22.9,43750.0,2023,2033,"Teaching assistants, postsecondary",193.6,199.6,0.1,0.1,6.0,3.1,0.1,24.6,44930.0,2024,2034,both,9.0,7.5,0.0,0.0,-1.4000000000000004,-0.8999999999999999,-0.19999999999999998,1.7000000000000028,1180.0
"Teaching assistants, except postsecondary",25-9045,Line item,1389.2,1381.0,0.8,0.8,-8.2,-0.6,0.3,161.9,35550.0,2023,2033,"Teaching assistants, except postsecondary",1422.8,1401.7,0.8,0.8,-21.1,-1.5,0.1,170.4,35240.0,2024,2034,both,33.59999999999991,20.700000000000045,0.0,0.0,-12.900000000000002,-0.9,-0.19999999999999998,8.5,-310.0
"Educational instruction and library workers, all other",25-9099,Line item,127.2,129.7,0.1,0.1,2.5,2.0,1.6,11.4,49800.0,2023,2033,"Educational instruction and library workers, all other",132.0,134.0,0.1,0.1,2.0,1.5,2.4,12.5,48400.0,2024,2034,both,4.799999999999997,4.300000000000011,0.0,0.0,-0.5,-0.5,0.7999999999999998,1.0999999999999996,-1400.0
Art directors,27-1011,Line item,126.6,133.2,0.1,0.1,6.6,5.2,58.9,11.7,106500.0,2023,2033,Art directors,135.0,140.7,0.1,0.1,5.7,4.2,61.9,12.3,111040.0,2024,2034,both,8.400000000000006,7.5,0.0,0.0,-0.8999999999999995,-1.0,3.0,0.6000000000000014,4540.0
Craft artists,27-1012,Line item,14.3,14.6,0.0,0.0,0.3,2.2,59.8,1.3,36600.0,2023,2033,Craft artists,11.6,11.9,0.0,0.0,0.2,2.1,62.6,1.0,38480.0,2024,2034,both,-2.700000000000001,-2.6999999999999993,0.0,0.0,-0.09999999999999998,-0.10000000000000009,2.8000000000000043,-0.30000000000000004,1880.0
"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,26.3,27.4,0.0,0.0,1.1,4.0,59.1,2.4,59300.0,2023,2033,"Fine artists, including painters, sculptors, and illustrators",26.5,26.2,0.0,0.0,-0.3,-1.2,61.6,2.2,60560.0,2024,2034,both,0.1999999999999993,-1.1999999999999993,0.0,0.0,-1.4000000000000001,-5.2,2.5,-0.19999999999999973,1260.0
Special effects artists and animators,27-1014,Line item,73.3,76.4,0.0,0.0,3.2,4.3,59.5,6.7,99060.0,2023,2033,Special effects artists and animators,57.1,58.0,0.0,0.0,0.9,1.6,61.5,5.0,99800.0,2024,2034,both,-16.199999999999996,-18.400000000000006,0.0,0.0,-2.3000000000000003,-2.6999999999999997,2.0,-1.7000000000000002,740.0
"Artists and related workers, all other",27-1019,Line item,13.4,13.8,0.0,0.0,0.4,3.3,41.7,1.2,74750.0,2023,2033,"Artists and related workers, all other",13.9,14.0,0.0,0.0,0.1,0.8,44.0,1.2,72760.0,2024,2034,both,0.5,0.1999999999999993,0.0,0.0,-0.30000000000000004,-2.5,2.299999999999997,0.0,-1990.0
Commercial and industrial designers,27-1021,Line item,34.0,35.1,0.0,0.0,1.1,3.1,9.6,2.3,76250.0,2023,2033,Commercial and industrial designers,30.6,31.6,0.0,0.0,1.0,3.2,2.0,2.5,79450.0,2024,2034,both,-3.3999999999999986,-3.5,0.0,0.0,-0.10000000000000009,0.10000000000000009,-7.6,0.20000000000000018,3200.0
Fashion designers,27-1022,Line item,21.9,22.9,0.0,0.0,1.0,4.7,9.2,2.1,79290.0,2023,2033,Fashion designers,25.7,26.2,0.0,0.0,0.5,2.0,20.0,2.3,80690.0,2024,2034,both,3.8000000000000007,3.3000000000000007,0.0,0.0,-0.5,-2.7,10.8,0.19999999999999973,1400.0
Floral designers,27-1023,Line item,53.7,48.1,0.0,0.0,-5.6,-10.4,18.1,5.6,34690.0,2023,2033,Floral designers,43.8,41.2,0.0,0.0,-2.6,-5.9,10.7,5.1,36120.0,2024,2034,both,-9.900000000000006,-6.899999999999999,0.0,0.0,2.9999999999999996,4.5,-7.400000000000002,-0.5,1430.0
Graphic designers,27-1024,Line item,267.2,273.8,0.2,0.2,6.6,2.5,18.2,21.1,58910.0,2023,2033,Graphic designers,265.9,271.5,0.2,0.2,5.7,2.1,17.7,20.0,61300.0,2024,2034,both,-1.3000000000000114,-2.3000000000000114,0.0,0.0,-0.8999999999999995,-0.3999999999999999,-0.5,-1.1000000000000014,2390.0
Interior designers,27-1025,Line item,92.2,95.9,0.1,0.1,3.7,4.0,27.0,8.8,62510.0,2023,2033,Interior designers,87.1,89.9,0.1,0.1,2.8,3.2,21.2,7.8,63490.0,2024,2034,both,-5.1000000000000085,-6.0,0.0,0.0,-0.9000000000000004,-0.7999999999999998,-5.800000000000001,-1.0000000000000009,980.0
Merchandise displayers and window trimmers,27-1026,Line item,176.4,184.7,0.1,0.1,8.4,4.8,,19.8,36230.0,2023,2033,Merchandise displayers and window trimmers,193.0,199.3,0.1,0.1,6.2,3.2,0.1,20.8,37350.0,2024,2034,both,16.599999999999994,14.600000000000023,0.0,0.0,-2.2,-1.5999999999999996,,1.0,1120.0
Set and exhibit designers,27-1027,Line item,29.6,31.1,0.0,0.0,1.5,5.1,63.8,2.4,59490.0,2023,2033,Set and exhibit designers,31.3,32.0,0.0,0.0,0.7,2.3,63.5,2.5,66280.0,2024,2034,both,1.6999999999999993,0.8999999999999986,0.0,0.0,-0.8,-2.8,-0.29999999999999716,0.10000000000000009,6790.0
"Designers, all other",27-1029,Line item,30.4,31.3,0.0,0.0,0.9,3.0,66.1,2.4,67500.0,2023,2033,"Designers, all other",28.6,29.2,0.0,0.0,0.6,2.0,66.1,2.2,66220.0,2024,2034,both,-1.7999999999999972,-2.1000000000000014,0.0,0.0,-0.30000000000000004,-1.0,0.0,-0.19999999999999973,-1280.0
Actors,27-2011,Line item,76.0,79.5,0.0,0.0,3.5,4.5,17.1,8.6,,2023,2033,Actors,57.0,57.1,0.0,0.0,0.2,0.3,27.9,6.3,,2024,2034,both,-19.0,-22.4,0.0,0.0,-3.3,-4.2,10.799999999999997,-2.3,
Producers and directors,27-2012,Line item,167.9,181.5,0.1,0.1,13.5,8.0,6.9,13.9,82510.0,2023,2033,Producers and directors,167.0,175.2,0.1,0.1,8.3,4.9,8.2,12.8,83480.0,2024,2034,both,-0.9000000000000057,-6.300000000000011,0.0,0.0,-5.199999999999999,-3.0999999999999996,1.299999999999999,-1.0999999999999996,970.0
Athletes and sports competitors,27-2021,Line item,25.1,27.8,0.0,0.0,2.8,11.1,24.8,3.4,70280.0,2023,2033,Athletes and sports competitors,19.1,20.2,0.0,0.0,1.0,5.5,20.7,2.1,62360.0,2024,2034,both,-6.0,-7.600000000000001,0.0,0.0,-1.7999999999999998,-5.6,-4.100000000000001,-1.2999999999999998,-7920.0
Coaches and scouts,27-2022,Line item,307.1,334.0,0.2,0.2,26.9,8.8,13.4,41.8,45910.0,2023,2033,Coaches and scouts,306.5,326.0,0.2,0.2,19.5,6.4,10.2,41.8,45920.0,2024,2034,both,-0.6000000000000227,-8.0,0.0,0.0,-7.399999999999999,-2.4000000000000004,-3.200000000000001,0.0,10.0
"Umpires, referees, and other sports officials",27-2023,Line item,23.1,25.5,0.0,0.0,2.4,10.4,30.4,5.5,35820.0,2023,2033,"Umpires, referees, and other sports officials",19.3,20.4,0.0,0.0,1.1,5.7,18.2,4.6,38820.0,2024,2034,both,-3.8000000000000007,-5.100000000000001,0.0,0.0,-1.2999999999999998,-4.7,-12.2,-0.9000000000000004,3000.0
Dancers,27-2031,Line item,15.2,16.2,0.0,0.0,1.0,6.7,22.1,2.5,,2023,2033,Dancers,12.3,12.9,0.0,0.0,0.6,4.5,25.4,1.8,,2024,2034,both,-2.8999999999999986,-3.299999999999999,0.0,0.0,-0.4,-2.2,3.299999999999997,-0.7,
Choreographers,27-2032,Line item,5.4,5.7,0.0,0.0,0.3,5.3,21.5,0.9,52000.0,2023,2033,Choreographers,4.6,4.9,0.0,0.0,0.3,6.1,24.3,0.7,55600.0,2024,2034,both,-0.8000000000000007,-0.7999999999999998,0.0,0.0,0.0,0.7999999999999998,2.8000000000000007,-0.20000000000000007,3600.0
